year,month,u10,v10,mx2t,mn2t,tcc,t2,msl,t,q,u,v,z,SPI,grid_ID
1981,5,-1.134483681,0.223162954,295.074268,285.2478736,0.425340285,289.7923909,101762.8853,289.0089771,0.006252342,-2.768534208,-1.619368776,1300.879818,2.224307267,303
1981,6,0.929270354,-0.254874776,289.8134816,280.1648051,0.346855302,285.1940084,101605.3453,284.8904633,0.005409823,-0.743250464,-1.955707351,1150.937447,-0.215542509,303
1981,7,-0.897824268,0.545121362,291.1472591,280.5205354,0.320438806,285.3523648,102058.2591,284.4179195,0.005315281,-2.312289283,-1.417458722,1516.041283,1.108219124,303
1981,8,0.246469705,0.350326537,293.0558452,280.4081893,0.169169761,286.4683818,101718.7442,285.5382818,0.004403016,-1.571246655,-1.571225958,1240.119338,-0.033747897,303
1981,9,-1.149674239,-0.166017691,299.8645915,286.5501027,0.244600204,293.0944631,101891.1339,290.8603048,0.004815445,-2.785294625,-3.149629433,1400.555863,-0.636206983,303
1982,1,-1.257537467,-0.290516894,308.5257519,297.0973422,0.341962116,302.5004263,100768.4093,299.9000766,0.009861675,-3.226191886,-3.469977683,434.7788565,0.226350121,303
1982,10,0.034086593,0.872629901,302.4603144,288.1878593,0.148251086,295.1869084,101527.9057,292.5231707,0.003713212,-2.111258439,-2.117658497,1073.673213,-1.362772147,303
1982,11,-1.418579537,-0.234346143,307.3062937,294.3228566,0.225680708,300.7568105,101465.7789,297.3159607,0.004888058,-3.403932647,-3.779353212,1029.02203,-1.447564444,303
1982,12,-0.305767672,-0.687897788,309.1076197,295.8124114,0.320763429,302.1451062,100932.3974,299.1436984,0.00641187,-2.806718174,-3.601231389,569.634299,-0.660174197,303
1982,2,-1.767759137,-0.220093702,308.5552619,297.5093831,0.383280581,302.9656961,101030.1169,299.9432667,0.008141962,-3.517596019,-3.712803606,663.4684432,-1.208534248,303
1982,3,-1.7387468,0.21376326,302.2584288,293.4655663,0.498325536,297.8959232,101265.7127,296.1114226,0.010968498,-3.154015137,-2.447591675,891.5427374,1.477153443,303
1982,4,-1.62954509,0.561590968,301.0047455,289.6813436,0.28179795,295.1495249,101675.8354,293.2261617,0.006666627,-3.01092294,-1.66133312,1226.00329,-0.561092957,303
1982,5,-1.427968268,0.716877631,296.0195608,283.7295434,0.243142487,289.1813591,101963.2815,288.6706454,0.00505055,-2.747650623,-0.848423783,1456.41969,0.411125517,303
1982,6,-0.919603539,1.667670785,290.6740306,278.1761485,0.106293411,283.6565765,102178.9573,283.5882131,0.003881934,-2.162543113,-0.042830877,1619.659916,-1.348929836,303
1982,7,-0.98774931,1.370249815,290.9828767,277.5563207,0.1208652,283.7577081,102161.3284,283.4697669,0.003356542,-2.342885821,-0.557504691,1585.91498,-0.909539399,303
1982,8,-2.46932393,0.245002613,296.2079468,283.5688398,0.098521383,289.5407242,102434.8344,287.9963497,0.004253348,-3.623873841,-2.156854433,1834.22548,-1.306380647,303
1982,9,-0.191476637,0.717940351,297.8539795,284.8646973,0.172518384,291.1188731,101901.6758,288.6787404,0.003994887,-2.098932,-1.78600171,1374.270213,-0.011749231,303
